year,month,time,ts,m,temperature
1758,3,1758-3-15 00:00:00,1758.2083333333333,mar,3.3
1758,4,1758-4-15 00:00:00,1758.2916666666667,apr,6.3
1758,5,1758-5-15 00:00:00,1758.375,may,13.9
1758,6,1758-6-15 00:00:00,1758.4583333333333,jun,16.7
1758,7,1758-7-15 00:00:00,1758.5416666666667,jul,15.5
1758,8,1758-8-15 00:00:00,1758.625,aug,17.1
1758,9,1758-9-15 00:00:00,1758.7083333333333,sep,11.8
1758,10,1758-10-15 00:00:00,1758.7916666666667,oct,6.5
1758,11,1758-11-15 00:00:00,1758.875,nov,3.93
1758,12,1758-12-15 00:00:00,1758.9583333333333,dec,0.6
1759,1,1759-1-15 00:00:00,1759.0416666666667,jan,1.4
1759,2,1759-2-15 00:00:00,1759.125,feb,2.1
1759,3,1759-3-15 00:00:00,1759.2083333333333,mar,4.3
1759,4,1759-4-15 00:00:00,1759.2916666666667,apr,7.7
1759,5,1759-5-15 00:00:00,1759.375,may,11.6
1759,6,1759-6-15 00:00:00,1759.4583333333333,jun,16.7
1759,7,1759-7-15 00:00:00,1759.5416666666667,jul,19.5
1759,8,1759-8-15 00:00:00,1759.625,aug,17.5
1759,9,1759-9-15 00:00:00,1759.7083333333333,sep,13.5
1759,10,1759-10-15 00:00:00,1759.7916666666667,oct,9.3
1759,11,1759-11-15 00:00:00,1759.875,nov,0.5
1759,12,1759-12-15 00:00:00,1759.9583333333333,dec,-3.1
1760,1,1760-1-15 00:00:00,1760.0416666666667,jan,-2.8
1760,2,1760-2-15 00:00:00,1760.125,feb,-0.9
1760,3,1760-3-15 00:00:00,1760.2083333333333,mar,2.1
1760,4,1760-4-15 00:00:00,1760.2916666666667,apr,8.2
1760,5,1760-5-15 00:00:00,1760.375,may,12.8
1760,6,1760-6-15 00:00:00,1760.4583333333333,jun,16.9
1760,7,1760-7-15 00:00:00,1760.5416666666667,jul,17.7
1760,8,1760-8-15 00:00:00,1760.625,aug,16.8
1760,9,1760-9-15 00:00:00,1760.7083333333333,sep,14.6
1760,10,1760-10-15 00:00:00,1760.7916666666667,oct,8.6
1760,11,1760-11-15 00:00:00,1760.875,nov,3.8
1760,12,1760-12-15 00:00:00,1760.9583333333333,dec,2.9
1761,1,1761-1-15 00:00:00,1761.0416666666667,jan,-1.6
1761,2,1761-2-15 00:00:00,1761.125,feb,1.7
1761,3,1761-3-15 00:00:00,1761.2083333333333,mar,5
1761,4,1761-4-15 00:00:00,1761.2916666666667,apr,7.1
1761,5,1761-5-15 00:00:00,1761.375,may,13.3
1761,6,1761-6-15 00:00:00,1761.4583333333333,jun,16.6
1761,7,1761-7-15 00:00:00,1761.5416666666667,jul,16.2
1761,8,1761-8-15 00:00:00,1761.625,aug,17.7
1761,9,1761-9-15 00:00:00,1761.7083333333333,sep,14.2
1761,10,1761-10-15 00:00:00,1761.7916666666667,oct,6.1
1761,11,1761-11-15 00:00:00,1761.875,nov,3
1761,12,1761-12-15 00:00:00,1761.9583333333333,dec,-3.3
1762,1,1762-1-15 00:00:00,1762.0416666666667,jan,0.4
1762,2,1762-2-15 00:00:00,1762.125,feb,-0.6
1762,3,1762-3-15 00:00:00,1762.2083333333333,mar,0.1
1762,4,1762-4-15 00:00:00,1762.2916666666667,apr,9.6
1762,5,1762-5-15 00:00:00,1762.375,may,12.9
1762,6,1762-6-15 00:00:00,1762.4583333333333,jun,15.7
1762,7,1762-7-15 00:00:00,1762.5416666666667,jul,17.3
1762,8,1762-8-15 00:00:00,1762.625,aug,14.9
1762,9,1762-9-15 00:00:00,1762.7083333333333,sep,12.6
1762,10,1762-10-15 00:00:00,1762.7916666666667,oct,5.9
1762,11,1762-11-15 00:00:00,1762.875,nov,2
1762,12,1762-12-15 00:00:00,1762.9583333333333,dec,-3.3
1763,1,1763-1-15 00:00:00,1763.0416666666667,jan,-6.7
1763,2,1763-2-15 00:00:00,1763.125,feb,2.1
1763,3,1763-3-15 00:00:00,1763.2083333333333,mar,1.5
1763,4,1763-4-15 00:00:00,1763.2916666666667,apr,6.5
1763,5,1763-5-15 00:00:00,1763.375,may,10.6
1763,6,1763-6-15 00:00:00,1763.4583333333333,jun,15.5
1763,7,1763-7-15 00:00:00,1763.5416666666667,jul,17
1763,8,1763-8-15 00:00:00,1763.625,aug,17.4
1763,9,1763-9-15 00:00:00,1763.7083333333333,sep,11.7
1763,10,1763-10-15 00:00:00,1763.7916666666667,oct,6.4
1763,11,1763-11-15 00:00:00,1763.875,nov,3
1763,12,1763-12-15 00:00:00,1763.9583333333333,dec,2.1
1764,1,1764-1-15 00:00:00,1764.0416666666667,jan,2.1
1764,2,1764-2-15 00:00:00,1764.125,feb,2.6
1764,3,1764-3-15 00:00:00,1764.2083333333333,mar,1.6
1764,4,1764-4-15 00:00:00,1764.2916666666667,apr,6.5
1764,5,1764-5-15 00:00:00,1764.375,may,13.8
1764,6,1764-6-15 00:00:00,1764.4583333333333,jun,15.8
1764,7,1764-7-15 00:00:00,1764.5416666666667,jul,18.3
1764,8,1764-8-15 00:00:00,1764.625,aug,15.2
1764,9,1764-9-15 00:00:00,1764.7083333333333,sep,10.9
1764,10,1764-10-15 00:00:00,1764.7916666666667,oct,6.5
1764,11,1764-11-15 00:00:00,1764.875,nov,2.3
1764,12,1764-12-15 00:00:00,1764.9583333333333,dec,-0.9
1765,1,1765-1-15 00:00:00,1765.0416666666667,jan,0.4
1765,2,1765-2-15 00:00:00,1765.125,feb,-3.5
1765,3,1765-3-15 00:00:00,1765.2083333333333,mar,4.7
1765,4,1765-4-15 00:00:00,1765.2916666666667,apr,7.9
1765,5,1765-5-15 00:00:00,1765.375,may,10.7
1765,6,1765-6-15 00:00:00,1765.4583333333333,jun,15.9
1765,7,1765-7-15 00:00:00,1765.5416666666667,jul,15.1
1765,8,1765-8-15 00:00:00,1765.625,aug,16.9
1765,9,1765-9-15 00:00:00,1765.7083333333333,sep,12.1
1765,10,1765-10-15 00:00:00,1765.7916666666667,oct,9
1765,11,1765-11-15 00:00:00,1765.875,nov,2.7
1765,12,1765-12-15 00:00:00,1765.9583333333333,dec,-1.3
1766,1,1766-1-15 00:00:00,1766.0416666666667,jan,-4.3
1766,2,1766-2-15 00:00:00,1766.125,feb,-1.7
1766,3,1766-3-15 00:00:00,1766.2083333333333,mar,3
1766,4,1766-4-15 00:00:00,1766.2916666666667,apr,9.1
1766,5,1766-5-15 00:00:00,1766.375,may,12.8
1766,6,1766-6-15 00:00:00,1766.4583333333333,jun,15.7
1766,7,1766-7-15 00:00:00,1766.5416666666667,jul,16.3
1766,8,1766-8-15 00:00:00,1766.625,aug,16.5
1766,9,1766-9-15 00:00:00,1766.7083333333333,sep,13.5
1766,10,1766-10-15 00:00:00,1766.7916666666667,oct,7.9
1766,11,1766-11-15 00:00:00,1766.875,nov,3.2
1766,12,1766-12-15 00:00:00,1766.9583333333333,dec,-1.3
1767,1,1767-1-15 00:00:00,1767.0416666666667,jan,-7.2
1767,2,1767-2-15 00:00:00,1767.125,feb,2.7
1767,3,1767-3-15 00:00:00,1767.2083333333333,mar,2.7
1767,4,1767-4-15 00:00:00,1767.2916666666667,apr,5.6
1767,5,1767-5-15 00:00:00,1767.375,may,10.4
1767,6,1767-6-15 00:00:00,1767.4583333333333,jun,14.1
1767,7,1767-7-15 00:00:00,1767.5416666666667,jul,16.3
1767,8,1767-8-15 00:00:00,1767.625,aug,16.9
1767,9,1767-9-15 00:00:00,1767.7083333333333,sep,13.4
1767,10,1767-10-15 00:00:00,1767.7916666666667,oct,8.5
1767,11,1767-11-15 00:00:00,1767.875,nov,5.6
1767,12,1767-12-15 00:00:00,1767.9583333333333,dec,-2.3
1768,1,1768-1-15 00:00:00,1768.0416666666667,jan,-5
1768,2,1768-2-15 00:00:00,1768.125,feb,-0.3
1768,3,1768-3-15 00:00:00,1768.2083333333333,mar,1.1
1768,4,1768-4-15 00:00:00,1768.2916666666667,apr,7.1
1768,5,1768-5-15 00:00:00,1768.375,may,11.9
1768,6,1768-6-15 00:00:00,1768.4583333333333,jun,15.4
1768,7,1768-7-15 00:00:00,1768.5416666666667,jul,17.1
1768,8,1768-8-15 00:00:00,1768.625,aug,16.4
1768,9,1768-9-15 00:00:00,1768.7083333333333,sep,11.6
1768,10,1768-10-15 00:00:00,1768.7916666666667,oct,7.7
1768,11,1768-11-15 00:00:00,1768.875,nov,4.1
1768,12,1768-12-15 00:00:00,1768.9583333333333,dec,0.3
1769,1,1769-1-15 00:00:00,1769.0416666666667,jan,-0.3
1769,2,1769-2-15 00:00:00,1769.125,feb,-0.3
1769,3,1769-3-15 00:00:00,1769.2083333333333,mar,2.4
1769,4,1769-4-15 00:00:00,1769.2916666666667,apr,7.7
1769,5,1769-5-15 00:00:00,1769.375,may,11.6
1769,6,1769-6-15 00:00:00,1769.4583333333333,jun,14.4
1769,7,1769-7-15 00:00:00,1769.5416666666667,jul,16.7
1769,8,1769-8-15 00:00:00,1769.625,aug,15.8
1769,9,1769-9-15 00:00:00,1769.7083333333333,sep,13.3
1769,10,1769-10-15 00:00:00,1769.7916666666667,oct,4.6
1769,11,1769-11-15 00:00:00,1769.875,nov,3.8
1769,12,1769-12-15 00:00:00,1769.9583333333333,dec,0.6
1770,1,1770-1-15 00:00:00,1770.0416666666667,jan,-1.6
1770,2,1770-2-15 00:00:00,1770.125,feb,-0.5
1770,3,1770-3-15 00:00:00,1770.2083333333333,mar,0
1770,4,1770-4-15 00:00:00,1770.2916666666667,apr,4.9
1770,5,1770-5-15 00:00:00,1770.375,may,11.7
1770,6,1770-6-15 00:00:00,1770.4583333333333,jun,14.6
1770,7,1770-7-15 00:00:00,1770.5416666666667,jul,16
1770,8,1770-8-15 00:00:00,1770.625,aug,17
1770,9,1770-9-15 00:00:00,1770.7083333333333,sep,14.6
1770,10,1770-10-15 00:00:00,1770.7916666666667,oct,8.1
1770,11,1770-11-15 00:00:00,1770.875,nov,3.6
1770,12,1770-12-15 00:00:00,1770.9583333333333,dec,1.8
1771,1,1771-1-15 00:00:00,1771.0416666666667,jan,-2.4
1771,2,1771-2-15 00:00:00,1771.125,feb,-2.5
1771,3,1771-3-15 00:00:00,1771.2083333333333,mar,-0.5
