year,jan,feb,mar,apr,mai,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,avg
1790,0.1,2.6,3.7,5.5,13.8,16,15.3,16.3,11.9,7.9,2.1,1.4,1.4,7.666666667,15.86666667,7.3,8.05
1791,2.2,0.7,3.8,9.3,11.3,14.9,16.6,17.7,12.2,7.9,1.6,0.3,1.433333333,8.133333333,16.4,7.233333333,8.208333333
1792,-0.9,-1.5,3.2,8.8,11.1,15.5,17.4,17.2,11.8,7.5,2.6,0.6,-0.7,7.7,16.7,7.3,7.775
1793,-2.7,1.8,2.4,5.5,10.9,13.8,18.4,17.1,12.1,9.7,3.5,1.8,-0.1,6.266666667,16.43333333,8.433333333,7.858333333
1794,-0.8,2.8,5.8,10.9,12.4,16.5,19.7,15.9,11.6,7.9,3.9,-2.8,1.266666667,9.7,17.36666667,7.8,8.65
1795,-8.3,-1.1,1.8,9.5,11.2,16.5,14.9,16.8,14.4,11.5,2.5,3,-4.066666667,7.5,16.06666667,9.466666667,7.725
1796,4.2,1.1,0,6.9,12.9,15.2,16.6,17.4,14.9,7.9,2.6,-2.8,2.766666667,6.6,16.4,8.466666667,8.075
1797,-0.1,0.5,1.9,8.9,14.1,14.5,18.7,17.9,14.1,8.5,3.2,1.6,-0.8,8.3,17.03333333,8.6,8.65
1798,-0.1,1.5,2.7,8.7,13.3,16.6,17,17.5,14.3,8.3,2.7,-4.4,1,8.233333333,17.03333333,8.433333333,8.175
1799,-5.9,-2.5,0.8,5.3,10.3,13.8,15.7,16.4,12.5,7.7,3.3,-5.2,-4.266666667,5.466666667,15.3,7.833333333,6.016666667
1800,-1.7,-2.4,-1.2,12,14.6,12.9,15.7,17.6,13.9,7.5,4.6,-0.6,-3.1,8.466666667,15.4,8.666666667,7.741666667
1801,0.4,-1.1,4.5,7.6,14.1,13.9,16.1,16,14.2,9.6,3.4,0.5,-0.433333333,8.733333333,15.33333333,9.066666667,8.266666667
1802,-4.1,-0.6,3.2,7.9,10.9,15.6,15.5,18.5,13.3,10.6,3.8,0.9,-1.4,7.333333333,16.53333333,9.233333333,7.958333333
1803,-6.4,-4.1,1.8,9.7,9.7,14.3,18.1,17.4,10.7,7.3,3.5,0,-3.2,7.066666667,16.6,7.166666667,6.833333333
1804,2.2,-1.8,-0.2,6.4,13.3,15.6,16.6,15.8,14.1,8.3,0.9,-4.2,0.133333333,6.5,16,7.766666667,7.25
1805,-4.6,-1.6,1.4,5.3,9.6,13.3,14.9,14.8,13.3,4.3,0,-0.2,-3.466666667,5.433333333,14.33333333,5.866666667,5.875
1806,1.9,1.4,2.6,4.5,14,14.4,15.8,15.9,13.5,7.5,4.9,4.2,1.033333333,7.033333333,15.36666667,8.633333333,8.383333333
1807,-1.2,1.2,-0.4,5.8,13.2,14.5,18.4,20.7,11.4,9.2,3.8,-0.2,1.4,6.2,17.86666667,8.133333333,8.033333333
1808,-1.3,-1.7,-2.1,4.9,14.3,14.8,18.5,18.1,13.2,6.2,2.2,-4.9,-1.066666667,5.7,17.13333333,7.2,6.85
1809,-3.2,2.3,1.9,3.6,13.3,14.6,16.2,16.6,12.6,6.4,1.8,1.3,-1.933333333,6.266666667,15.8,6.933333333,7.283333333
1810,-4.4,-2.6,3.4,6.4,10.9,13.5,16.2,16.1,14.9,7.5,3.4,1.4,-1.9,6.9,15.26666667,8.6,7.225
1811,-5.6,0,4.8,6.9,15.7,18.3,18.4,16.6,12.9,11.5,4.5,0.4,-1.4,9.133333333,17.76666667,9.633333333,8.7
1812,-3.6,0.7,1.8,5.2,12.4,14.9,15,15.5,11.8,9.3,1,-5.6,-0.833333333,6.466666667,15.13333333,7.366666667,6.533333333
1813,-3.9,2.1,2.2,8.3,12.5,14,15.4,14.7,11.7,7.3,2.5,-0.5,-2.466666667,7.666666667,14.7,7.166666667,7.191666667
1814,-4.2,-5.9,0,9.1,9.5,13.3,17.5,15.6,10.9,6.5,3.5,1.6,-3.533333333,6.2,15.46666667,6.966666667,6.45
1815,-4.9,2,5,7.7,12.9,15.3,14.6,15.1,12,8.4,1.5,-2.6,-0.433333333,8.533333333,15,7.3,7.25
1816,-0.7,-2.2,1.8,7,10.2,13.3,14.7,14.1,11.7,7.3,0.9,-1.2,-1.833333333,6.333333333,14.03333333,6.633333333,6.408333333
1817,1.5,3.1,2.6,3.3,11.3,16.8,15.7,15.7,14.4,5,4.9,-0.8,1.133333333,5.733333333,16.06666667,8.1,7.791666667
1818,0.7,0.2,3.4,8.1,10.9,16.4,17.5,15.6,12.9,7.8,4.2,-1.9,0.033333333,7.466666667,16.5,8.3,7.983333333
1819,0.3,1.5,3.9,8.7,12.8,16.5,17.8,17.3,13.8,7.6,2.3,-2.2,-0.033333333,8.466666667,17.2,7.9,8.358333333
1820,-5.2,-0.4,1.2,9.2,13.3,13.5,15.3,18.1,11.8,7.8,1,-2,-2.6,7.9,15.63333333,6.866666667,6.966666667
1821,-0.2,-2,2.4,9.8,11.1,12.5,14.7,16.2,13.9,8.4,5.9,3.2,-1.4,7.766666667,14.46666667,9.4,7.991666667
1822,1.2,2.6,6.4,8.5,14.1,18.1,17.5,16.5,12.9,10.1,5.3,-2.9,2.333333333,9.666666667,17.36666667,9.433333333,9.191666667
1823,-8.1,0.3,3.2,6.3,13,14.2,15.4,17.2,13.3,8.4,3.5,1.9,-3.566666667,7.5,15.6,8.4,7.383333333
1824,0.4,1.4,2.3,6.4,11.4,14.8,16.9,16.4,14.6,8.9,5.4,4,1.233333333,6.7,16.03333333,9.633333333,8.575
