year,month,time,m,temperature
1992,12,1992.91666667,dec,1.3
1993,1,1993.0,jan,2.5
1993,2,1993.08333333,feb,-0.7
1993,3,1993.16666667,mar,3.6
1993,4,1993.25,apr,10.4
1993,5,1993.33333333,may,14.6
1993,6,1993.41666667,jun,15.6
1993,7,1993.5,jul,16.1
1993,8,1993.58333333,aug,15.8
1993,9,1993.66666667,sep,12.2
1993,10,1993.75,oct,7.8
1993,11,1993.83333333,nov,0.4
1993,12,1993.91666667,dec,3.2
1994,1,1994.0,jan,3
1994,2,1994.08333333,feb,-0.2
1994,3,1994.16666667,mar,6.3
1994,4,1994.25,apr,7.9
1994,5,1994.33333333,may,12.6
1994,6,1994.41666667,jun,15.9
1994,7,1994.5,jul,21.3
1994,8,1994.58333333,aug,17.8
1994,9,1994.66666667,sep,13.2
1994,10,1994.75,oct,7.6
1994,11,1994.83333333,nov,7.2
1994,12,1994.91666667,dec,3.6
1995,1,1995.0,jan,0.2
1995,2,1995.08333333,feb,4.6
1995,3,1995.16666667,mar,3.1
1995,4,1995.25,apr,8.5
1995,5,1995.33333333,may,12.2
1995,6,1995.41666667,jun,14.3
1995,7,1995.5,jul,20.1
1995,8,1995.58333333,aug,18.3
1995,9,1995.66666667,sep,12.6
1995,10,1995.75,oct,11.8
1995,11,1995.83333333,nov,3
1995,12,1995.91666667,dec,-1.8
1996,1,1996.0,jan,-2.8
1996,2,1996.08333333,feb,-2.2
1996,3,1996.16666667,mar,1
1996,4,1996.25,apr,8.4
1996,5,1996.33333333,may,11.2
1996,6,1996.41666667,jun,15.6
1996,7,1996.5,jul,15.9
1996,8,1996.58333333,aug,17.1
1996,9,1996.66666667,sep,10.9
1996,10,1996.75,oct,9.2
1996,11,1996.83333333,nov,4.5
1996,12,1996.91666667,dec,-2.4
1997,1,1997.0,jan,-2.6
1997,2,1997.08333333,feb,4.1
1997,3,1997.16666667,mar,5.8
1997,4,1997.25,apr,6.4
1997,5,1997.33333333,may,12.7
1997,6,1997.41666667,jun,15.8
1997,7,1997.5,jul,17.1
1997,8,1997.58333333,aug,19.8
1997,9,1997.66666667,sep,13.7
1997,10,1997.75,oct,7.7
1997,11,1997.83333333,nov,4
1997,12,1997.91666667,dec,2.2
1998,1,1998.0,jan,2.4
1998,2,1998.08333333,feb,4.3
1998,3,1998.16666667,mar,5
1998,4,1998.25,apr,8.8
1998,5,1998.33333333,may,14
1998,6,1998.41666667,jun,16.5
1998,7,1998.5,jul,16.4
1998,8,1998.58333333,aug,16.7
1998,9,1998.66666667,sep,13.3
1998,10,1998.75,oct,8.7
1998,11,1998.83333333,nov,1.6
1998,12,1998.91666667,dec,1
1999,1,1999.0,jan,2.6
1999,2,1999.08333333,feb,0.4
1999,3,1999.16666667,mar,5.4
1999,4,1999.25,apr,8.9
1999,5,1999.33333333,may,13.8
1999,6,1999.41666667,jun,15.2
1999,7,1999.5,jul,19
1999,8,1999.58333333,aug,17.2
1999,9,1999.66666667,sep,16.8
1999,10,1999.75,oct,9
1999,11,1999.83333333,nov,3.5
1999,12,1999.91666667,dec,2.2
2000,1,2000.0,jan,1.1
2000,2,2000.08333333,feb,3.9
2000,3,2000.16666667,mar,5.2
2000,4,2000.25,apr,10.1
2000,5,2000.33333333,may,14.6
2000,6,2000.41666667,jun,17
2000,7,2000.5,jul,15.3
2000,8,2000.58333333,aug,17.6
2000,9,2000.66666667,sep,13.9
2000,10,2000.75,oct,10.6
2000,11,2000.83333333,nov,6.1
2000,12,2000.91666667,dec,3.1
2001,1,2001.0,jan,0.9
2001,2,2001.08333333,feb,2.3
2001,3,2001.16666667,mar,4.2
2001,4,2001.25,apr,7.1
2001,5,2001.33333333,may,14.4
2001,6,2001.41666667,jun,14.3
2001,7,2001.5,jul,18.6
2001,8,2001.58333333,aug,18.6
2001,9,2001.66666667,sep,11.8
2001,10,2001.75,oct,12.48
2001,11,2001.83333333,nov,3.8
2001,12,2001.91666667,dec,-0.2
2002,1,2002.0,jan,1.2
2002,2,2002.08333333,feb,5
2002,3,2002.16666667,mar,5.4
2002,4,2002.25,apr,8.1
2002,5,2002.33333333,may,13.8
2002,6,2002.41666667,jun,17.4
2002,7,2002.5,jul,17.7
2002,8,2002.58333333,aug,18.8
2002,9,2002.66666667,sep,13.1
2002,10,2002.75,oct,8.3
2002,11,2002.83333333,nov,5.6
2002,12,2002.91666667,dec,0.3
2003,1,2003.0,jan,-0.3
2003,2,2003.08333333,feb,-1.9
2003,3,2003.16666667,mar,5.3
2003,4,2003.25,apr,8.5
2003,5,2003.33333333,may,14.1
2003,6,2003.41666667,jun,19.35
2003,7,2003.5,jul,19.1
2003,8,2003.58333333,aug,20.6
2003,9,2003.66666667,sep,13.8
2003,10,2003.75,oct,5.9
2003,11,2003.83333333,nov,6
2003,12,2003.91666667,dec,1.8
2004,1,2004.0,jan,-0.1
2004,2,2004.08333333,feb,2.4
2004,3,2004.16666667,mar,4.1
2004,4,2004.25,apr,9.3
2004,5,2004.33333333,may,11.6
2004,6,2004.41666667,jun,15.3
2004,7,2004.5,jul,16.8
2004,8,2004.58333333,aug,18.4
2004,9,2004.66666667,sep,14
2004,10,2004.75,oct,10.1
2004,11,2004.83333333,nov,4.2
2004,12,2004.91666667,dec,1.1
2005,1,2005.0,jan,2
2005,2,2005.08333333,feb,-1
2005,3,2005.16666667,mar,3.6
2005,4,2005.25,apr,9.3
2005,5,2005.33333333,may,12.8
2005,6,2005.41666667,jun,16.4
2005,7,2005.5,jul,18
2005,8,2005.58333333,aug,15.8
2005,9,2005.66666667,sep,15
2005,10,2005.75,oct,11
2005,11,2005.83333333,nov,4.2
2005,12,2005.91666667,dec,0.9
2006,1,2006.0,jan,-2.6
2006,2,2006.08333333,feb,-0.4
2006,3,2006.16666667,mar,1.5
2006,4,2006.25,apr,8
2006,5,2006.33333333,may,13.1
2006,6,2006.41666667,jun,16.8
2006,7,2006.5,jul,21.99
2006,8,2006.58333333,aug,15.5
2006,9,2006.66666667,sep,16.9
2006,10,2006.75,oct,12.1
2006,11,2006.83333333,nov,7
2006,12,2006.91666667,dec,4.4
2007,1,2007.0,jan,4.76
2007,2,2007.08333333,feb,3.9
2007,3,2007.16666667,mar,6.2
2007,4,2007.25,apr,11.5
2007,5,2007.33333333,may,14.2
2007,6,2007.41666667,jun,17.4
2007,7,2007.5,jul,17.2
2007,8,2007.58333333,aug,16.9
2007,9,2007.66666667,sep,12.6
2007,10,2007.75,oct,8.3
2007,11,2007.83333333,nov,3.7
2007,12,2007.91666667,dec,1.6
2008,1,2008.0,jan,3.6
2008,2,2008.08333333,feb,3.7
2008,3,2008.16666667,mar,4.2
2008,4,2008.25,apr,7.6
2008,5,2008.33333333,may,14.5
2008,6,2008.41666667,jun,16.9
2008,7,2008.5,jul,18
2008,8,2008.58333333,aug,17.4
2008,9,2008.66666667,sep,12.4
2008,10,2008.75,oct,9.1
2008,11,2008.83333333,nov,5.1
2008,12,2008.91666667,dec,1.1
2009,1,2009.0,jan,-2.2
2009,2,2009.08333333,feb,0.5
2009,3,2009.16666667,mar,4.3
2009,4,2009.25,apr,11.8
2009,5,2009.33333333,may,13.6
2009,6,2009.41666667,jun,14.8
2009,7,2009.5,jul,18
2009,8,2009.58333333,aug,18.7
2009,9,2009.66666667,sep,14.7
2009,10,2009.75,oct,8.2
2009,11,2009.83333333,nov,7.4
2009,12,2009.91666667,dec,0.3
2010,1,2010.0,jan,-3.6
2010,2,2010.08333333,feb,-0.5
2010,3,2010.16666667,mar,4.2
2010,4,2010.25,apr,8.7
2010,5,2010.33333333,may,10.4
2010,6,2010.41666667,jun,16.3
2010,7,2010.5,jul,20.3
2010,8,2010.58333333,aug,16.7
2010,9,2010.66666667,sep,12.4
2010,10,2010.75,oct,8.1
2010,11,2010.83333333,nov,4.8
2010,12,2010.91666667,dec,-3.7
2011,1,2011.0,jan,1
2011,2,2011.08333333,feb,0.9
2011,3,2011.16666667,mar,4.9
2011,4,2011.25,apr,11.6
2011,5,2011.33333333,may,13.9
2011,6,2011.41666667,jun,16.5
2011,7,2011.5,jul,16.1
2011,8,2011.58333333,aug,17.7
2011,9,2011.66666667,sep,15.2
2011,10,2011.75,oct,9.4
2011,11,2011.83333333,nov,4.5
2011,12,2011.91666667,dec,3.9
2012,1,2012.0,jan,1.9
2012,2,2012.08333333,feb,-2.5
2012,3,2012.16666667,mar,6.9
2012,4,2012.25,apr,8.1
2012,5,2012.33333333,may,14.2
2012,6,2012.41666667,jun,15.5
2012,7,2012.5,jul,17.4
2012,8,2012.58333333,aug,18.4
2012,9,2012.66666667,sep,13.6
2012,10,2012.75,oct,8.7
2012,11,2012.83333333,nov,5.2
2012,12,2012.91666667,dec,1.5
2013,1,2013.0,jan,0.2
2013,2,2013.08333333,feb,-0.7
2013,3,2013.16666667,mar,0.1
2013,4,2013.25,apr,8.1
2013,5,2013.33333333,may,11.8
2013,6,2013.41666667,jun,15.7
2013,7,2013.5,jul,19.5
2013,8,2013.58333333,aug,17.9
2013,9,2013.66666667,sep,13.3
2013,10,2013.75,oct,10.6
2013,11,2013.83333333,nov,4.6
2013,12,2013.91666667,dec,3.6
2014,1,2014.0,jan,2.1
2014,2,2014.08333333,feb,4.3
2014,3,2014.16666667,mar,6.9
2014,4,2014.25,apr,10.8
2014,5,2014.33333333,may,12.4
2014,6,2014.41666667,jun,16.1
2014,7,2014.5,jul,19.3
2014,8,2014.58333333,aug,16
2014,9,2014.66666667,sep,14.9
2014,10,2014.75,oct,11.9
2014,11,2014.83333333,nov,6.5
2014,12,2014.91666667,dec,2.7
2015,1,2015.0,jan,2.2
2015,2,2015.08333333,feb,0.7
2015,3,2015.16666667,mar,5.2
2015,4,2015.25,apr,8.4
2015,5,2015.33333333,may,12.3
2015,6,2015.41666667,jun,15.8
2015,7,2015.5,jul,19.4
2015,8,2015.58333333,aug,19.9
2015,9,2015.66666667,sep,13
2015,10,2015.75,oct,8.4
2015,11,2015.83333333,nov,7.5
2015,12,2015.91666667,dec,6.5
2016,1,2016.0,jan,1
2016,2,2016.08333333,feb,3.3
2016,3,2016.16666667,mar,4
2016,4,2016.25,apr,7.9
2016,5,2016.33333333,may,13.7
2016,6,2016.41666667,jun,17
2016,7,2016.5,jul,18.6
2016,8,2016.58333333,aug,17.7
2016,9,2016.66666667,sep,16.9
2016,10,2016.75,oct,8.5
2016,11,2016.83333333,nov,3.8
2016,12,2016.91666667,dec,2.2
2017,1,2017.0,jan,-2.2
2017,2,2017.08333333,feb,2.9
2017,3,2017.16666667,mar,7.2
2017,4,2017.25,apr,7.4
2017,5,2017.33333333,may,14.1
2017,6,2017.41666667,jun,17.8
2017,7,2017.5,jul,18.1
2017,8,2017.58333333,aug,17.9
2017,9,2017.66666667,sep,12.8
2017,10,2017.75,oct,11.1
2017,11,2017.83333333,nov,5.1
2017,12,2017.91666667,dec,2.7
2018,1,2018.0,jan,3.7
2018,2,2018.08333333,feb,-1.9
2018,3,2018.16666667,mar,2.4
2018,4,2018.25,apr,12.3
2018,5,2018.33333333,may,16
2018,6,2018.41666667,jun,17.7
2018,7,2018.5,jul,20.3
2018,8,2018.58333333,aug,19.9
2018,9,2018.66666667,sep,15.1
2018,10,2018.75,oct,10.7
2018,11,2018.83333333,nov,5.2
2018,12,2018.91666667,dec,3.9
